Date,Time Spent (seconds),Number of People,Category
2017-03-01T00:00:00,40,1,Instant Message
2017-03-01T15:20:00,11,1,Instant Message
2017-03-01T15:20:00,5,1,General Utilities
2017-03-01T15:25:00,65,1,General Utilities
2017-03-01T15:45:00,49,1,Instant Message
2017-03-01T15:45:00,1,1,General Utilities
2017-03-01T15:45:00,1,1,Search
2017-03-01T15:50:00,95,1,Instant Message
2017-03-01T15:55:00,20,1,Instant Message
2017-03-01T16:00:00,37,1,Instant Message
2017-03-01T16:00:00,2,1,General Communication & Scheduling
2017-03-01T16:00:00,1,1,Search
2017-03-01T16:05:00,10,1,Search
2017-03-01T16:05:00,10,1,Instant Message
2017-03-01T16:05:00,2,1,General Communication & Scheduling
2017-03-01T16:10:00,107,1,Instant Message
2017-03-01T16:15:00,143,1,Instant Message
2017-03-01T16:20:00,34,1,Instant Message
2017-03-01T16:50:00,22,1,Instant Message
2017-03-01T16:55:00,72,1,Instant Message
2017-03-01T16:55:00,20,1,Music
2017-03-01T16:55:00,5,1,Search
2017-03-01T17:10:00,136,1,General News & Opinion
2017-03-01T17:10:00,40,1,Instant Message
2017-03-01T17:10:00,17,1,Business
2017-03-01T17:10:00,13,1,Email
2017-03-01T17:10:00,2,1,Music
2017-03-01T17:15:00,269,1,Business
2017-03-01T17:20:00,68,1,Business
2017-03-01T17:45:00,21,1,Instant Message
2017-03-01T17:55:00,48,1,General Social Networking
2017-03-01T17:55:00,16,1,Uncategorized
2017-03-01T17:55:00,5,1,Search
2017-03-01T17:55:00,3,1,General Utilities
2017-03-01T18:00:00,10,1,General Social Networking
2017-03-01T18:00:00,5,1,Search
2017-03-01T18:35:00,14,1,Instant Message
2017-03-01T18:35:00,1,1,Search
2017-03-01T18:40:00,51,1,Instant Message
2017-03-01T18:45:00,6,1,Instant Message
2017-03-01T19:00:00,86,1,Email
2017-03-01T19:00:00,6,1,Instant Message
2017-03-01T19:00:00,2,1,Search
2017-03-01T19:35:00,22,1,Instant Message
2017-03-01T19:35:00,18,1,Email
2017-03-01T19:35:00,2,1,General Utilities
2017-03-01T19:35:00,1,1,Search
2017-03-01T19:55:00,35,1,General Communication & Scheduling
2017-03-01T19:55:00,9,1,Instant Message
2017-03-01T19:55:00,6,1,Search
2017-03-01T20:00:00,46,1,General Communication & Scheduling
2017-03-01T20:10:00,11,1,General Communication & Scheduling
2017-03-01T21:30:00,2,1,General Utilities
2017-03-01T21:55:00,174,1,General Social Networking
2017-03-01T21:55:00,19,1,Search
2017-03-01T21:55:00,14,1,Instant Message
2017-03-01T21:55:00,2,1,General Communication & Scheduling
2017-03-01T22:00:00,265,1,General Social Networking
2017-03-01T22:00:00,34,1,Instant Message
2017-03-01T22:00:00,1,1,General Utilities
2017-03-01T22:05:00,259,1,General Social Networking
2017-03-01T22:05:00,40,1,Instant Message
2017-03-01T22:10:00,256,1,General Social Networking
2017-03-01T22:10:00,19,1,Instant Message
2017-03-01T22:10:00,15,1,Uncategorized
2017-03-01T22:10:00,5,1,Search
2017-03-01T22:10:00,4,1,General Utilities
2017-03-01T22:15:00,178,1,General Social Networking
2017-03-01T22:15:00,1,1,Search
2017-03-01T22:20:00,134,1,General Social Networking
2017-03-01T22:20:00,35,1,General Communication & Scheduling
2017-03-01T22:20:00,4,1,General Utilities
2017-03-01T22:20:00,3,1,Instant Message
2017-03-01T22:20:00,1,1,Search
2017-03-01T22:25:00,254,1,General Social Networking
2017-03-01T22:25:00,12,1,Instant Message
2017-03-01T22:25:00,3,1,Search
2017-03-01T22:30:00,6,1,Instant Message
2017-03-01T22:30:00,1,1,General Social Networking
2017-03-01T23:10:00,14,1,Uncategorized
2017-03-01T23:10:00,2,1,Search
2017-03-01T23:10:00,2,1,Instant Message
2017-03-01T23:15:00,32,1,Uncategorized
2017-03-01T23:20:00,181,1,Uncategorized
2017-03-01T23:25:00,285,1,Uncategorized
2017-03-01T23:25:00,6,1,Search
2017-03-01T23:25:00,5,1,General Utilities
2017-03-01T23:30:00,300,1,Uncategorized
2017-03-01T23:35:00,300,1,Uncategorized
2017-03-01T23:40:00,162,1,Instant Message
2017-03-01T23:40:00,131,1,Uncategorized
2017-03-01T23:40:00,4,1,Search
2017-03-01T23:40:00,3,1,General Utilities
2017-03-01T23:45:00,64,1,Instant Message
2017-03-01T23:45:00,4,1,Search
2017-03-01T23:50:00,32,1,Instant Message
2017-03-01T23:55:00,3,1,Instant Message
2017-03-02T00:00:00,40,1,Instant Message
2017-03-02T00:05:00,204,1,General Social Networking
2017-03-02T00:05:00,6,1,Instant Message
2017-03-02T00:10:00,118,1,General Social Networking
2017-03-02T00:20:00,113,1,Email
2017-03-02T00:20:00,16,1,Search
2017-03-02T00:20:00,8,1,General Shopping
2017-03-02T00:20:00,1,1,General Social Networking
2017-03-02T00:25:00,115,1,Meetings
2017-03-02T00:25:00,51,1,Email
2017-03-02T00:25:00,6,1,Search
2017-03-02T00:30:00,10,1,Email
2017-03-02T00:30:00,8,1,Maps & Regional
2017-03-02T00:45:00,72,1,Instant Message
2017-03-02T00:45:00,44,1,General Reference & Learning
2017-03-02T00:45:00,8,1,Search
2017-03-02T00:45:00,1,1,Email
2017-03-02T00:50:00,298,1,Instant Message
2017-03-02T00:55:00,299,1,Instant Message
2017-03-02T01:00:00,87,1,Instant Message
2017-03-02T01:00:00,51,1,General Social Networking
2017-03-02T01:00:00,9,1,Search
2017-03-02T01:05:00,189,1,General Social Networking
2017-03-02T01:05:00,44,1,Instant Message
2017-03-02T01:05:00,32,1,Email
2017-03-02T01:05:00,32,1,Search
2017-03-02T01:05:00,3,1,General Utilities
2017-03-02T01:10:00,300,1,General Social Networking
2017-03-02T01:15:00,300,1,General Social Networking
2017-03-02T01:20:00,40,1,General Social Networking
2017-03-02T01:20:00,26,1,Calendars
2017-03-02T01:20:00,4,1,Search
2017-03-02T08:15:00,188,1,Instant Message
2017-03-02T08:20:00,300,1,Instant Message
2017-03-02T08:25:00,228,1,General Social Networking
2017-03-02T08:25:00,68,1,Business
2017-03-02T08:25:00,3,1,Instant Message
2017-03-02T08:30:00,106,1,General Social Networking
2017-03-02T08:30:00,64,1,Instant Message
2017-03-02T08:30:00,1,1,Search
2017-03-02T08:35:00,114,1,Instant Message
2017-03-02T08:40:00,119,1,Instant Message
2017-03-02T08:40:00,98,1,Email
2017-03-02T08:40:00,30,1,Calendars
2017-03-02T08:40:00,4,1,Search
2017-03-02T08:40:00,2,1,General Utilities
2017-03-02T08:45:00,233,1,Instant Message
2017-03-02T08:45:00,1,1,Search
2017-03-02T08:50:00,300,1,Instant Message
2017-03-02T08:55:00,300,1,Instant Message
2017-03-02T09:00:00,128,1,Instant Message
2017-03-02T09:00:00,1,1,General Communication & Scheduling
2017-03-02T09:00:00,1,1,Search
2017-03-02T09:05:00,17,1,Instant Message
2017-03-02T09:10:00,107,1,Instant Message
2017-03-02T09:10:00,72,1,General Social Networking
2017-03-02T09:15:00,77,1,Accounting
2017-03-02T09:15:00,37,1,Instant Message
2017-03-02T09:15:00,8,1,Search
2017-03-02T09:20:00,33,1,Instant Message
2017-03-02T09:25:00,77,1,General Reference & Learning
2017-03-02T09:25:00,22,1,Health & Medicine
2017-03-02T09:25:00,17,1,Search
2017-03-02T09:25:00,3,1,Instant Message
2017-03-02T09:45:00,30,1,Health & Medicine
2017-03-02T09:55:00,31,1,Instant Message
2017-03-02T09:55:00,8,1,Health & Medicine
2017-03-02T10:00:00,23,1,Instant Message
2017-03-02T11:05:00,88,1,Instant Message
2017-03-02T11:10:00,300,1,Instant Message
2017-03-02T11:15:00,243,1,Instant Message
